object,total_occurences,photos_containing,occurence_ratio
person,127247,13057,9.745500497817263
chair,9474,3152,3.0057106598984773
car,8682,2487,3.4909529553679133
handbag,6029,3019,1.9970188804239815
book,5448,2867,1.9002441576560865
umbrella,3873,1961,1.9750127485976543
bottle,3811,1635,2.3308868501529054
backpack,3452,2214,1.5591689250225835
tie,3307,1725,1.9171014492753624
bird,2604,1150,2.2643478260869565
cup,2510,1195,2.100418410041841
boat,2341,741,3.1592442645074224
potted plant,2014,1126,1.788632326820604
dining table,2009,1224,1.6413398692810457
traffic light,1964,985,1.9939086294416244
bicycle,1707,717,2.3807531380753137
truck,1588,1044,1.5210727969348659
bench,1399,862,1.622969837587007
clock,1245,984,1.2652439024390243
cell phone,1167,910,1.2824175824175825
bowl,1149,632,1.8180379746835442
motorcycle,1140,626,1.8210862619808306
tv,1099,862,1.2749419953596288
bed,1036,776,1.3350515463917525
vase,879,613,1.433931484502447
kite,830,551,1.5063520871143377
sports ball,816,566,1.441696113074205
laptop,701,487,1.4394250513347022
wine glass,700,267,2.6217228464419478
dog,624,487,1.2813141683778233
teddy bear,593,382,1.5523560209424083
cake,589,410,1.4365853658536585
suitcase,587,475,1.2357894736842105
airplane,448,250,1.792
bus,416,302,1.3774834437086092
surfboard,411,300,1.37
horse,392,249,1.5742971887550201
remote,375,318,1.179245283018868
knife,372,271,1.3726937269372694
train,330,261,1.264367816091954
toothbrush,310,243,1.2757201646090535
baseball bat,300,248,1.2096774193548387
refrigerator,286,232,1.2327586206896552
spoon,279,195,1.4307692307692308
skateboard,261,218,1.1972477064220184
couch,251,193,1.3005181347150259
sink,235,150,1.5666666666666667
cat,229,182,1.2582417582417582
frisbee,223,197,1.131979695431472
cow,218,111,1.9639639639639639
scissors,204,153,1.3333333333333333
fork,194,113,1.7168141592920354
stop sign,193,173,1.115606936416185
donut,183,123,1.4878048780487805
keyboard,173,137,1.2627737226277371
baseball glove,152,133,1.1428571428571428
oven,146,126,1.1587301587301588
broccoli,146,92,1.5869565217391304
mouse,144,116,1.2413793103448276
toilet,142,104,1.3653846153846154
sheep,135,70,1.9285714285714286
fire hydrant,135,119,1.134453781512605
skis,126,74,1.7027027027027026
elephant,125,109,1.146788990825688
bear,122,104,1.1730769230769231
banana,120,80,1.5
parking meter,119,82,1.451219512195122
tennis racket,116,101,1.1485148514851484
apple,112,49,2.2857142857142856
orange,81,48,1.6875
snowboard,70,57,1.2280701754385965
microwave,58,53,1.0943396226415094
hair drier,34,32,1.0625
giraffe,24,18,1.3333333333333333
carrot,24,14,1.7142857142857142
pizza,14,14,1.0
hot dog,13,7,1.8571428571428572
zebra,12,9,1.3333333333333333
toaster,5,4,1.25
sandwich,5,4,1.25
